Q1_age,Q2_gender,Q3_edu,Q4_exp,Q5_ai_know,H1,H2,H3,H4,S1,S2,S3,S4,B1,B2,B3,B4,B5,R1,R2,R3,R4,R5,R6,C1,C2,C3,C4,E1,E2,E3,E4,T1,T2,T3,T4,T5
56,1,4,2,4,5,4,4,3,2,4,5,5,3,4,5,4,4,1,4,2,1,2,1,2,4,3,3,5,5,2,2,4,5,3,4,2
69,1,3,1,5,2,3,5,2,2,3,5,2,3,4,3,5,5,2,3,4,4,3,4,2,3,3,4,4,2,3,3,4,2,4,5,5
46,1,2,2,4,3,2,2,4,5,5,4,5,5,3,5,5,5,1,4,3,4,4,4,2,2,3,3,2,2,5,3,2,5,4,2,2
32,1,4,2,5,3,4,5,4,3,3,3,4,3,3,4,4,3,1,4,1,1,1,4,5,4,3,2,3,5,2,4,2,5,4,5,3
60,1,1,2,4,3,4,4,2,5,2,3,2,4,5,5,4,4,2,4,4,4,4,2,5,4,2,5,5,5,4,2,4,4,3,3,5
25,2,1,2,3,3,2,4,2,2,3,5,2,5,3,4,3,5,3,1,4,4,3,4,4,3,4,5,5,3,5,3,5,3,2,4,5
38,1,1,1,4,3,4,5,5,3,3,5,3,5,3,5,3,3,4,3,3,2,1,4,5,4,2,2,2,5,2,4,4,2,5,2,3
56,2,1,1,5,4,4,2,4,2,4,4,5,5,3,5,4,5,2,3,3,3,3,4,2,3,3,3,2,3,5,3,5,5,2,4,3
36,2,3,1,2,2,3,3,3,5,5,5,3,5,4,5,5,4,1,4,4,4,3,2,2,3,5,4,5,2,5,5,2,2,2,2,3
40,2,1,2,4,4,4,4,5,5,4,4,4,4,4,3,5,5,1,1,1,2,2,1,5,3,5,4,4,3,5,4,2,4,5,3,5
28,1,4,2,2,5,5,2,2,5,4,3,2,5,5,3,5,5,2,1,4,3,1,3,3,3,3,2,2,5,5,2,5,3,5,4,4
28,1,5,1,3,3,2,2,2,2,4,3,2,5,3,4,5,5,3,3,3,1,2,4,5,2,3,4,5,2,5,2,2,5,3,5,4
41,1,1,1,1,2,3,3,4,3,4,2,2,3,3,4,3,5,3,1,1,2,1,1,5,3,5,3,2,4,5,2,5,3,3,2,4
53,1,3,1,3,3,3,4,2,3,4,3,4,5,5,3,4,3,1,1,3,2,3,4,2,5,2,3,4,3,2,2,3,4,3,4,5
57,2,3,1,4,2,5,4,3,2,3,5,4,4,3,4,5,3,1,1,1,3,3,2,4,4,2,2,3,2,4,3,4,4,3,5,3
41,1,1,2,2,4,2,2,4,3,4,3,3,4,3,3,3,4,3,2,2,1,4,1,2,5,3,3,2,3,3,3,3,2,3,4,5
20,1,5,1,2,2,2,2,2,2,4,4,3,4,4,5,5,3,4,4,3,2,1,2,4,2,2,5,4,2,5,2,5,5,5,4,3
39,1,1,1,5,5,3,3,4,3,5,3,3,4,5,4,4,3,2,3,3,4,2,4,2,5,5,2,5,2,3,2,4,2,2,4,5
19,1,3,1,2,5,4,3,2,4,2,2,5,5,5,4,3,4,1,3,4,4,4,4,5,4,2,3,2,3,2,2,5,4,3,2,5
41,1,2,1,5,2,3,4,2,4,3,3,2,5,5,3,4,3,1,2,3,4,4,2,2,5,3,2,2,4,5,3,4,3,3,5,3
61,2,4,1,1,2,2,5,2,5,3,4,2,4,5,4,4,3,3,4,3,1,4,3,2,2,5,4,5,2,4,2,4,2,2,3,4
47,1,3,2,4,2,5,4,3,4,3,4,3,4,4,4,3,4,2,3,2,2,2,2,2,3,2,3,3,2,3,2,4,2,3,2,3
55,2,1,2,5,2,3,2,3,4,4,5,2,5,4,5,3,4,3,1,3,4,4,4,5,5,4,5,5,2,5,5,4,3,2,2,2
19,1,4,1,1,5,2,4,4,4,4,3,3,4,3,4,3,4,2,3,2,1,2,2,5,2,5,3,2,4,2,5,5,2,2,2,2
38,2,1,1,2,3,3,5,2,2,4,4,5,3,3,5,3,5,2,1,2,4,4,3,5,2,5,2,5,4,4,2,4,3,5,3,3
50,1,1,1,2,2,4,3,2,4,5,2,5,4,3,3,3,5,2,2,2,3,2,2,5,4,4,2,4,5,3,4,4,5,4,5,5
29,1,2,1,1,2,3,5,3,4,2,5,4,4,3,4,3,4,1,1,2,2,3,3,4,4,4,3,5,3,3,2,3,3,5,5,2
39,2,4,1,2,5,3,5,2,5,4,2,5,3,4,5,3,4,4,3,1,2,3,3,4,5,5,5,2,4,5,5,2,5,4,5,2
61,2,4,1,1,5,2,5,3,4,2,3,3,3,5,3,5,4,3,3,4,1,3,2,3,3,4,5,5,3,4,4,2,3,4,4,5
42,2,2,2,5,4,2,3,2,4,5,3,5,5,4,4,4,5,4,3,1,1,3,2,5,2,3,5,3,5,4,4,3,4,4,4,5
66,1,3,1,5,2,2,5,4,3,3,3,4,5,3,3,3,5,3,2,3,2,3,1,4,5,3,2,5,3,4,2,3,4,3,4,4
44,2,1,2,1,4,3,5,2,5,4,5,2,3,4,4,5,3,2,2,1,4,4,4,2,2,3,3,3,4,4,5,5,5,5,3,5
59,1,5,1,5,5,4,5,2,5,2,4,3,3,5,3,5,3,1,4,1,4,4,3,5,2,5,4,4,3,2,5,5,5,4,4,3
45,1,1,1,5,5,5,2,5,5,2,5,2,5,5,3,5,4,4,3,3,3,4,1,3,3,4,2,3,4,4,4,5,4,2,3,3
33,2,1,1,5,3,5,5,3,5,4,2,4,4,4,5,4,5,1,1,3,4,2,2,3,3,4,5,5,3,3,2,3,5,3,5,4
32,2,3,1,3,2,2,3,2,5,3,5,4,3,4,3,3,5,3,2,3,1,2,4,3,5,2,3,2,4,3,3,3,3,5,4,2
64,1,1,2,4,4,2,5,2,5,3,2,4,5,4,4,5,5,1,3,1,1,2,1,2,3,2,5,3,4,2,3,4,3,4,4,2
68,1,2,1,2,5,3,5,5,2,3,5,2,4,3,4,4,4,1,3,1,4,2,3,4,3,4,4,4,3,3,5,5,4,2,2,5
61,2,2,1,3,5,5,3,5,4,5,4,2,3,4,5,4,3,4,2,3,1,3,1,2,5,4,5,3,5,3,3,5,2,5,3,3
69,2,4,1,5,4,2,5,3,5,2,2,2,4,4,4,4,4,2,4,4,2,3,3,5,3,4,5,3,2,4,5,5,3,5,5,2
20,2,5,2,1,3,4,3,5,4,2,3,2,5,4,4,5,3,1,2,4,2,3,2,3,4,5,4,3,5,3,5,2,5,3,2,4
54,1,1,1,5,5,4,5,4,4,2,3,4,3,5,4,3,3,2,2,2,4,1,4,2,2,4,3,4,3,2,5,4,2,5,2,4
68,1,1,2,4,2,2,3,5,2,5,5,4,4,5,3,5,4,3,1,3,2,4,4,2,2,2,2,5,5,4,3,5,2,3,5,3
24,1,3,1,5,5,2,5,4,5,2,3,3,3,3,3,5,3,1,1,2,2,2,4,4,2,5,3,3,4,5,5,5,3,4,2,4
38,1,2,1,1,2,5,5,3,3,5,2,3,4,3,4,3,3,4,4,4,3,2,2,4,2,4,4,3,2,4,4,5,3,3,3,4
26,1,5,2,4,4,5,2,3,2,3,3,2,5,5,5,3,5,3,3,2,3,3,3,3,5,2,5,2,3,2,2,2,2,2,3,3
56,1,4,2,5,2,3,2,3,3,4,4,5,5,5,3,3,3,3,2,3,2,2,2,2,2,5,3,4,3,4,2,2,2,3,4,5
35,2,2,2,4,4,5,5,3,4,2,4,5,3,5,5,4,4,4,4,3,4,2,4,2,2,4,2,3,3,4,5,3,4,2,2,5
21,1,4,1,2,2,4,5,3,4,2,5,4,4,4,4,3,4,1,1,3,3,4,2,4,2,4,4,4,2,2,2,4,5,3,4,4
42,1,3,1,2,4,4,4,4,2,3,2,4,3,4,4,5,3,1,2,1,1,3,2,2,2,4,3,3,4,4,3,3,4,5,2,5
31,1,3,1,5,2,2,3,4,2,4,4,4,3,5,3,3,5,3,3,2,1,4,2,2,4,5,2,5,3,2,3,4,3,4,3,5
67,2,1,2,4,3,5,4,3,3,5,4,3,4,4,4,5,5,1,1,4,1,1,3,2,2,2,4,5,5,2,2,2,4,2,3,4
26,1,5,1,1,2,3,2,5,5,4,2,3,4,4,3,4,3,2,1,4,4,1,1,4,4,2,2,3,3,5,3,5,4,3,3,5
43,1,4,1,5,2,4,2,2,3,3,3,4,4,3,4,5,3,4,1,4,2,1,1,3,5,3,4,5,3,3,2,3,4,3,2,4
19,2,2,1,2,3,4,2,3,2,3,3,4,5,5,4,5,4,2,4,1,1,3,2,5,3,4,5,3,3,3,2,5,4,3,3,2
37,1,3,1,2,5,3,2,5,3,4,5,4,3,5,3,3,3,1,3,1,4,2,1,3,2,3,3,5,3,4,2,3,5,5,2,3
45,1,1,1,5,5,3,5,2,2,5,3,5,3,4,3,3,5,3,2,3,3,3,1,5,3,3,2,2,4,4,5,2,5,5,4,3
64,1,1,1,4,2,4,2,3,3,5,2,3,5,5,3,5,3,4,4,4,2,3,2,2,3,2,4,2,5,5,2,2,2,2,2,5
24,1,4,1,2,3,4,5,3,2,2,4,5,4,3,4,3,4,1,4,1,3,2,2,3,5,5,2,2,4,5,5,2,3,2,4,5
